x,y,Elevation
519002.802971435,1507162.90403418,168.15312
519012.802971435,1507162.90403418,168.15312
519022.802971435,1507162.90403418,168.15312
519032.802971435,1507162.90403418,168.15312
519042.802971435,1507162.90403418,168.15312
519052.802971435,1507162.90403418,168.15312
518922.802971435,1507152.90403418,168.15312
518932.802971435,1507152.90403418,168.15312
518942.802971435,1507152.90403418,168.15312
518952.802971435,1507152.90403418,168.15312
518962.802971435,1507152.90403418,168.15312
518972.802971435,1507152.90403418,168.15312
518982.802971435,1507152.90403418,168.15312
518992.802971435,1507152.90403418,168.15312
519002.802971435,1507152.90403418,168.15312
519012.802971435,1507152.90403418,168.15312
519022.802971435,1507152.90403418,168.15312
519032.802971435,1507152.90403418,168.15312
519042.802971435,1507152.90403418,168.15312
519052.802971435,1507152.90403418,168.15312
519062.802971435,1507152.90403418,168.15312
519072.802971435,1507152.90403418,168.15312
519082.802971435,1507152.90403418,168.15312
519092.802971435,1507152.90403418,168.15312
519102.802971435,1507152.90403418,168.15312
519112.802971435,1507152.90403418,168.15312
519122.802971435,1507152.90403418,173.76999
519132.802971435,1507152.90403418,196.75412
519142.802971435,1507152.90403418,204.41216
519152.802971435,1507152.90403418,205.43866
519162.802971435,1507152.90403418,203.31987
519172.802971435,1507152.90403418,201.90987
519182.802971435,1507152.90403418,201.40009
519192.802971435,1507152.90403418,201.71303
519202.802971435,1507152.90403418,202.22716
519212.802971435,1507152.90403418,203.89029
519222.802971435,1507152.90403418,205.95676
519232.802971435,1507152.90403418,208.26202
519242.802971435,1507152.90403418,210.5809
518852.802971435,1507142.90403418,168.15312
518862.802971435,1507142.90403418,168.15312
518872.802971435,1507142.90403418,168.15312
518882.802971435,1507142.90403418,168.15312
518892.802971435,1507142.90403418,168.15312
518902.802971435,1507142.90403418,168.15312
518912.802971435,1507142.90403418,168.15312
518922.802971435,1507142.90403418,168.15312
518932.802971435,1507142.90403418,168.15312
518942.802971435,1507142.90403418,168.15312
518952.802971435,1507142.90403418,168.15312
518962.802971435,1507142.90403418,168.15312
518972.802971435,1507142.90403418,168.15312
518982.802971435,1507142.90403418,168.15312
518992.802971435,1507142.90403418,168.15312
519002.802971435,1507142.90403418,168.15312
519012.802971435,1507142.90403418,168.15312
519022.802971435,1507142.90403418,168.15312
519032.802971435,1507142.90403418,168.15312
519042.802971435,1507142.90403418,168.15312
519052.802971435,1507142.90403418,168.15312
519062.802971435,1507142.90403418,168.15312
519072.802971435,1507142.90403418,168.15312
519082.802971435,1507142.90403418,168.15312
519092.802971435,1507142.90403418,168.15312
519102.802971435,1507142.90403418,168.15312
519112.802971435,1507142.90403418,168.15312
519122.802971435,1507142.90403418,168.15312
519132.802971435,1507142.90403418,180.72356
519142.802971435,1507142.90403418,188.13031
519152.802971435,1507142.90403418,191.96974
519162.802971435,1507142.90403418,193.94696
519172.802971435,1507142.90403418,196.42017
519182.802971435,1507142.90403418,200.92384
519192.802971435,1507142.90403418,202.4874
519202.802971435,1507142.90403418,202.63283
519212.802971435,1507142.90403418,203.89029
519222.802971435,1507142.90403418,205.95676
519232.802971435,1507142.90403418,208.26202
519242.802971435,1507142.90403418,210.5809
519252.802971435,1507142.90403418,211.91615
519262.802971435,1507142.90403418,209.98682
519272.802971435,1507142.90403418,209.48439
519282.802971435,1507142.90403418,207.28293
519292.802971435,1507142.90403418,207.28293
519302.802971435,1507142.90403418,207.28293
519312.802971435,1507142.90403418,207.28293
518782.802971435,1507132.90403418,173.86603
518792.802971435,1507132.90403418,173.38968
518802.802971435,1507132.90403418,168.67079
518812.802971435,1507132.90403418,168.15312
518822.802971435,1507132.90403418,168.15312
518832.802971435,1507132.90403418,168.15312
518842.802971435,1507132.90403418,168.15312
518852.802971435,1507132.90403418,168.15312
518862.802971435,1507132.90403418,168.15312
518872.802971435,1507132.90403418,168.15312
518882.802971435,1507132.90403418,168.15312
518892.802971435,1507132.90403418,168.15312
518902.802971435,1507132.90403418,168.15312
518912.802971435,1507132.90403418,168.15312
518922.802971435,1507132.90403418,168.15312
518932.802971435,1507132.90403418,168.15312
518942.802971435,1507132.90403418,168.15312
518952.802971435,1507132.90403418,168.15312
518962.802971435,1507132.90403418,168.15312
518972.802971435,1507132.90403418,168.15312
518982.802971435,1507132.90403418,168.15312
518992.802971435,1507132.90403418,168.15312
519002.802971435,1507132.90403418,168.15312
519012.802971435,1507132.90403418,168.15312
519022.802971435,1507132.90403418,168.15312
519032.802971435,1507132.90403418,168.15312
519042.802971435,1507132.90403418,168.15312
519052.802971435,1507132.90403418,168.15312
519062.802971435,1507132.90403418,168.15312
519072.802971435,1507132.90403418,168.15312
519082.802971435,1507132.90403418,168.15312
519092.802971435,1507132.90403418,168.15312
519102.802971435,1507132.90403418,168.15312
519112.802971435,1507132.90403418,168.15312
519122.802971435,1507132.90403418,168.15312
519132.802971435,1507132.90403418,174.16927
519142.802971435,1507132.90403418,181.2011
519152.802971435,1507132.90403418,185.45905
