x,y,Elevation
519002.802971435,1507162.90403418,211.0
519012.802971435,1507162.90403418,211.0
519022.802971435,1507162.90403418,211.0
519032.802971435,1507162.90403418,211.0
519042.802971435,1507162.90403418,211.0
519052.802971435,1507162.90403418,211.0
518922.802971435,1507152.90403418,211.0
518932.802971435,1507152.90403418,211.0
518942.802971435,1507152.90403418,211.0
518952.802971435,1507152.90403418,211.0
518962.802971435,1507152.90403418,211.0
518972.802971435,1507152.90403418,211.0
518982.802971435,1507152.90403418,211.0
518992.802971435,1507152.90403418,211.0
519002.802971435,1507152.90403418,211.0
519012.802971435,1507152.90403418,211.0
519022.802971435,1507152.90403418,211.0
519032.802971435,1507152.90403418,211.0
519042.802971435,1507152.90403418,211.0
519052.802971435,1507152.90403418,211.0
519062.802971435,1507152.90403418,211.0
519072.802971435,1507152.90403418,211.0
519082.802971435,1507152.90403418,211.0
519092.802971435,1507152.90403418,211.0
519102.802971435,1507152.90403418,211.0
519112.802971435,1507152.90403418,211.0
519122.802971435,1507152.90403418,211.0
519132.802971435,1507152.90403418,211.0
519142.802971435,1507152.90403418,211.0
519152.802971435,1507152.90403418,211.0
519162.802971435,1507152.90403418,211.0
519172.802971435,1507152.90403418,211.0
519182.802971435,1507152.90403418,211.0
519192.802971435,1507152.90403418,211.0
519202.802971435,1507152.90403418,211.0
519212.802971435,1507152.90403418,211.0
519222.802971435,1507152.90403418,211.0
519232.802971435,1507152.90403418,211.0
519242.802971435,1507152.90403418,211.0
518852.802971435,1507142.90403418,211.0
518862.802971435,1507142.90403418,211.0
518872.802971435,1507142.90403418,211.0
518882.802971435,1507142.90403418,211.0
518892.802971435,1507142.90403418,211.0
518902.802971435,1507142.90403418,211.0
518912.802971435,1507142.90403418,211.0
518922.802971435,1507142.90403418,211.0
518932.802971435,1507142.90403418,211.0
518942.802971435,1507142.90403418,211.0
518952.802971435,1507142.90403418,211.0
518962.802971435,1507142.90403418,211.0
518972.802971435,1507142.90403418,211.0
518982.802971435,1507142.90403418,211.0
518992.802971435,1507142.90403418,211.0
519002.802971435,1507142.90403418,211.0
519012.802971435,1507142.90403418,211.0
519022.802971435,1507142.90403418,211.0
519032.802971435,1507142.90403418,211.0
519042.802971435,1507142.90403418,211.0
519052.802971435,1507142.90403418,211.0
519062.802971435,1507142.90403418,211.0
519072.802971435,1507142.90403418,211.0
519082.802971435,1507142.90403418,211.0
519092.802971435,1507142.90403418,211.0
519102.802971435,1507142.90403418,211.0
519112.802971435,1507142.90403418,211.0
519122.802971435,1507142.90403418,211.0
519132.802971435,1507142.90403418,211.0
519142.802971435,1507142.90403418,211.0
519152.802971435,1507142.90403418,211.0
519162.802971435,1507142.90403418,211.0
519172.802971435,1507142.90403418,211.0
519182.802971435,1507142.90403418,211.0
519192.802971435,1507142.90403418,211.0
519202.802971435,1507142.90403418,211.0
519212.802971435,1507142.90403418,211.0
519222.802971435,1507142.90403418,211.0
519232.802971435,1507142.90403418,211.0
519242.802971435,1507142.90403418,211.0
519252.802971435,1507142.90403418,211.91615
519262.802971435,1507142.90403418,211.0
519272.802971435,1507142.90403418,211.0
519282.802971435,1507142.90403418,211.0
519292.802971435,1507142.90403418,211.0
519302.802971435,1507142.90403418,211.0
519312.802971435,1507142.90403418,211.0
518782.802971435,1507132.90403418,211.0
518792.802971435,1507132.90403418,211.0
518802.802971435,1507132.90403418,211.0
518812.802971435,1507132.90403418,211.0
518822.802971435,1507132.90403418,211.0
518832.802971435,1507132.90403418,211.0
518842.802971435,1507132.90403418,211.0
518852.802971435,1507132.90403418,211.0
518862.802971435,1507132.90403418,211.0
518872.802971435,1507132.90403418,211.0
518882.802971435,1507132.90403418,211.0
518892.802971435,1507132.90403418,211.0
518902.802971435,1507132.90403418,211.0
518912.802971435,1507132.90403418,211.0
518922.802971435,1507132.90403418,211.0
518932.802971435,1507132.90403418,211.0
518942.802971435,1507132.90403418,211.0
518952.802971435,1507132.90403418,211.0
518962.802971435,1507132.90403418,211.0
518972.802971435,1507132.90403418,211.0
518982.802971435,1507132.90403418,211.0
518992.802971435,1507132.90403418,211.0
519002.802971435,1507132.90403418,211.0
519012.802971435,1507132.90403418,211.0
519022.802971435,1507132.90403418,211.0
519032.802971435,1507132.90403418,211.0
519042.802971435,1507132.90403418,211.0
519052.802971435,1507132.90403418,211.0
519062.802971435,1507132.90403418,211.0
519072.802971435,1507132.90403418,211.0
519082.802971435,1507132.90403418,211.0
519092.802971435,1507132.90403418,211.0
519102.802971435,1507132.90403418,211.0
519112.802971435,1507132.90403418,211.0
519122.802971435,1507132.90403418,211.0
519132.802971435,1507132.90403418,211.0
519142.802971435,1507132.90403418,211.0
519152.802971435,1507132.90403418,211.0
519162.802971435,1507132.90403418,211.0
519172.802971435,1507132.90403418,211.0
519182.802971435,1507132.90403418,211.0
519192.802971435,1507132.90403418,211.0
519202.802971435,1507132.90403418,211.0
519212.802971435,1507132.90403418,220.6219
519222.802971435,1507132.90403418,234.33537
519232.802971435,1507132.90403418,244.97382
519242.802971435,1507132.90403418,253.63689
519252.802971435,1507132.90403418,257.89276
519262.802971435,1507132.90403418,251.47795
519272.802971435,1507132.90403418,249.82149
519282.802971435,1507132.90403418,239.80237
519292.802971435,1507132.90403418,215.79007
519302.802971435,1507132.90403418,211.0
519312.802971435,1507132.90403418,211.0
518602.802971435,1507122.90403418,211.0
518612.802971435,1507122.90403418,211.0
518622.802971435,1507122.90403418,211.0
518632.802971435,1507122.90403418,211.0
518642.802971435,1507122.90403418,211.0
518652.802971435,1507122.90403418,211.0
518662.802971435,1507122.90403418,211.0
518672.802971435,1507122.90403418,211.0
518682.802971435,1507122.90403418,211.0
518692.802971435,1507122.90403418,211.0
518702.802971435,1507122.90403418,211.0
518712.802971435,1507122.90403418,211.0
518722.802971435,1507122.90403418,211.0
518732.802971435,1507122.90403418,211.0
518742.802971435,1507122.90403418,211.0
518752.802971435,1507122.90403418,211.0
